PADD,Year,AviationGalPadd
Central Atlantic (PADD 1B),2016,26
Gulf Coast (PADD 3),2016,73.3
Lower Atlantic (PADD 1C),2016,89.8
New England (PADD 1A),2016,16
Midwest (PADD 2),2016,95.6
Rocky Mountain (PADD 4),2016,27.9
West Coast (PADD 5),2016,118.9
Central Atlantic (PADD 1B),2015,28.4
Gulf Coast (PADD 3),2015,69.7
Lower Atlantic (PADD 1C),2015,86.4
New England (PADD 1A),2015,16.3
Midwest (PADD 2),2015,96.9
Rocky Mountain (PADD 4),2015,28.5
West Coast (PADD 5),2015,125.7
Central Atlantic (PADD 1B),2014,28.1
Gulf Coast (PADD 3),2014,81.2
Lower Atlantic (PADD 1C),2014,84.2
New England (PADD 1A),2014,17.1
Midwest (PADD 2),2014,95.8
Rocky Mountain (PADD 4),2014,29.2
West Coast (PADD 5),2014,117.7
