PADD,Year,Ppg
New England (PADD 1A),2012,3.785
Central Atlantic (PADD 1B),2012,3.763
Lower Atlantic (PADD 1C),2012,3.618
Midwest (PADD 2),2012,3.605
Gulf Coast (PADD 3),2012,3.479
Rocky Mountain (PADD 4),2012,3.552
West Coast (PADD 5),2012,3.805
New England (PADD 1A),2016,2.255
Central Atlantic (PADD 1B),2016,2.312
Lower Atlantic (PADD 1C),2016,2.206
Midwest (PADD 2),2016,2.143
Gulf Coast (PADD 3),2016,2.024
Rocky Mountain (PADD 4),2016,2.212
West Coast (PADD 5),2016,2.646
New England (PADD 1A),2017,2.532
Central Atlantic (PADD 1B),2017,2.639
Lower Atlantic (PADD 1C),2017,2.455
Midwest (PADD 2),2017,2.405
Gulf Coast (PADD 3),2017,2.295
Rocky Mountain (PADD 4),2017,2.498
West Coast (PADD 5),2017,2.948
New England (PADD 1A),2015,2.507
Central Atlantic (PADD 1B),2015,2.559
Lower Atlantic (PADD 1C),2015,2.42
Midwest (PADD 2),2015,2.411
Gulf Coast (PADD 3),2015,2.256
Rocky Mountain (PADD 4),2015,2.481
West Coast (PADD 5),2015,3.042
