State,ABBREV,FIPS,Year,Gasoline,AllMotorFuel
Alabama,AL,1,2015,2648411,3447767
Alaska,AK,2,2015,281643,385015
Arizona,AZ,4,2015,2796710,3555311
Arkansas,AR,5,2015,1329207,1945262
California,CA,6,2015,15105349,17973944
Colorado,CO,8,2015,2234354,2854615
Connecticut,CT,9,2015,1457698,1731709
Delaware,DE,10,2015,462217,524060
District of Columbia,DC,11,2015,100564,107499
Florida,FL,12,2015,8665371,10138267
Georgia,GA,13,2015,4953417,6428615
Hawaii,HI,15,2015,460178,513294
Idaho,ID,16,2015,720319,1007332
Illinois,IL,17,2015,5085246,6736723
Indiana,IN,18,2015,3081957,4364844
Iowa,IA,19,2015,1550218,2218812
Kansas,KS,20,2015,1251733,1766147
Kentucky,KY,21,2015,2180325,2952808
Louisiana,LA,22,2015,2338659,3063655
Maine,ME,23,2015,782325,974479
Maryland,MD,24,2015,2822834,3344001
Massachusetts,MA,25,2015,2786118,3216554
Michigan,MI,26,2015,4562786,5517829
Minnesota,MN,27,2015,2432400,3185350
Mississippi,MS,28,2015,1693817,2326804
Missouri,MO,29,2015,3116500,4138525
Montana,MT,30,2015,532318,802873
Nebraska,NE,31,2015,877110,1307159
Nevada,NV,32,2015,1150232,1451536
New Hampshire,NH,33,2015,706081,807603
New Jersey,NJ,34,2015,4074753,4832890
New Mexico,NM,35,2015,900282,1410899
New York,NY,36,2015,5386597,6476300
North Carolina,NC,37,2015,4329112,5371625
North Dakota,ND,38,2015,471841,825224
Ohio,OH,39,2015,5014675,6565430
Oklahoma,OK,40,2015,1944251,2807336
Oregon,OR,41,2015,1552762,2101271
Pennsylvania,PA,42,2015,4848172,6316314
Rhode Island,RI,44,2015,376584,438479
South Carolina,SC,45,2015,2810861,3563151
South Dakota,SD,46,2015,470565,701849
Tennessee,TN,47,2015,3206009,4186007
Texas,TX,48,2015,13857197,18991693
Utah,UT,49,2015,1114193,1573263
Vermont,VT,50,2015,312998,379108
Virginia,VA,51,2015,3920449,4875304
Washington,WA,53,2015,2709147,3392588
West Virginia,WV,54,2015,849916,1170036
Wisconsin,WI,55,2015,2577936,3380328
Wyoming,WY,56,2015,333437,683086
Alabama,AL,1,2016,2746653,3663721
Alaska,AK,2,2016,288332,364267
Arizona,AZ,4,2016,2869727,3705984
Arkansas,AR,5,2016,1390780,2032189
California,CA,6,2016,15487957,18535139
Colorado,CO,8,2016,2301586,2926680
Connecticut,CT,9,2016,1491165,1764760
Delaware,DE,10,2016,483220,549274
District of Columbia,DC,11,2016,104774,112752
Florida,FL,12,2016,8921104,10476989
Georgia,GA,13,2016,4843878,6171050
Hawaii,HI,15,2016,470183,519947
Idaho,ID,16,2016,740028,1042510
Illinois,IL,17,2016,4871566,6407099
Indiana,IN,18,2016,3131277,4399155
Iowa,IA,19,2016,1637999,2322187
Kansas,KS,20,2016,1248268,1715493
Kentucky,KY,21,2016,2250387,3030304
Louisiana,LA,22,2016,2286812,2982032
Maine,ME,23,2016,786987,979213
Maryland,MD,24,2016,2750660,3273105
Massachusetts,MA,25,2016,2838589,3278200
Michigan,MI,26,2016,4689193,5672486
Minnesota,MN,27,2016,2562056,3444385
Mississippi,MS,28,2016,1736224,2424218
Missouri,MO,29,2016,3198696,4241867
Montana,MT,30,2016,544968,810709
Nebraska,NE,31,2016,915524,1376482
Nevada,NV,32,2016,1187415,1515310
New Hampshire,NH,33,2016,713141,811496
New Jersey,NJ,34,2016,4233300,5128675
New Mexico,NM,35,2016,891552,1402991
New York,NY,36,2016,5629288,6866477
North Carolina,NC,37,2016,4501334,5589381
North Dakota,ND,38,2016,449962,740927
Ohio,OH,39,2016,5074220,6612824
Oklahoma,OK,40,2016,1982039,2867824
Oregon,OR,41,2016,1610665,2176235
Pennsylvania,PA,42,2016,4861983,6279163
Rhode Island,RI,44,2016,373630,422126
South Carolina,SC,45,2016,2878563,3712884
South Dakota,SD,46,2016,479647,711103
Tennessee,TN,47,2016,3362939,4332195
Texas,TX,48,2016,14306539,19573859
Utah,UT,49,2016,1185913,1651716
Vermont,VT,50,2016,314924,386758
Virginia,VA,51,2016,4060200,5046361
Washington,WA,53,2016,2707857,3389633
West Virginia,WV,54,2016,826824,1276279
Wisconsin,WI,55,2016,2601482,3404820
Wyoming,WY,56,2016,342113,679836
