State,ABBREV,FIPS,Year,OnHighway
Alabama,AL,1,2016,2777
Alaska,AK,2,2016,416
Arizona,AZ,4,2016,3155
Arkansas,AR,5,2016,1504
California,CA,6,2016,16341
Colorado,CO,8,2016,2434
Connecticut,CT,9,2016,1556
Delaware,DE,10,2016,450
District of Columbia,DC,11,2016,520
Florida,FL,12,2016,8841
Georgia,GA,13,2016,5165
Hawaii,HI,15,2016,611
Idaho,ID,16,2016,832
Illinois,IL,17,2016,5038
Indiana,IN,18,2016,3130
Iowa,IA,19,2016,1596
Kansas,KS,20,2016,1360
Kentucky,KY,21,2016,2320
Louisiana,LA,22,2016,2391
Maine,ME,23,2016,703
Maryland,MD,24,2016,3161
Massachusetts,MA,25,2016,3010
Michigan,MI,26,2016,4735
Minnesota,MN,27,2016,2646
Mississippi,MS,28,2016,1789
Missouri,MO,29,2016,3337
Montana,MT,30,2016,651
Nebraska,NE,31,2016,918
Nevada,NV,32,2016,1274
New Hampshire,NH,33,2016,740
New Jersey,NJ,34,2016,4376
New Mexico,NM,35,2016,1327
New York,NY,36,2016,6035
North Carolina,NC,37,2016,4536
North Dakota,ND,38,2016,509
Ohio,OH,39,2016,5255
Oklahoma,OK,40,2016,2070
Oregon,OR,41,2016,1682
Pennsylvania,PA,42,2016,5412
Rhode Island,RI,44,2016,410
South Carolina,SC,45,2016,2822
South Dakota,SD,46,2016,534
Tennessee,TN,47,2016,3434
Texas,TX,48,2016,13557
Utah,UT,49,2016,1243
Vermont,VT,50,2016,334
Virginia,VA,51,2016,4664
Washington,WA,53,2016,3114
West Virginia,WV,54,2016,1000
Wisconsin,WI,55,2016,2522
Wyoming,WY,56,2016,430
