State,ABBREV,FIPS,Year,FederalCar,FederalBus,FederalTruck,ScmCar,ScmBus,ScmTruck
Alabama,AL,1,2016,1466,131,6968,43272,,58018
Alaska,AK,2,2016,183,72,4506,4216,518,13051
Arizona,AZ,4,2016,2207,341,17553,18662,7200,25260
Arkansas,AR,5,2016,593,52,4130,12271,670,22909
California,CA,6,2016,10604,529,61702,231692,63099,226864
Colorado,CO,8,2016,1217,117,12003,15938,6719,27288
Connecticut,CT,9,2016,733,36,4638,477,,490
Delaware,DE,10,2016,127,31,1333,1436,394,1681
District of Columbia,DC,11,2016,4060,96,7504,12597,3597,7060
Florida,FL,12,2016,5697,255,26715,104232,34197,107237
Georgia,GA,13,2016,3096,362,14500,49263,25024,61975
Hawaii,HI,15,2016,830,110,5635,7165,1185,9383
Idaho,ID,16,2016,292,123,5703,2011,570,3836
Illinois,IL,17,2016,2884,96,15417,37279,89,44414
Indiana,IN,18,2016,1258,160,7406,1685,13339,2575
Iowa,IA,19,2016,581,39,3749,11523,5300,19177
Kansas,KS,20,2016,733,69,4359,3365,2211,5369
Kentucky,KY,21,2016,1379,118,5985,31365,9083,43744
Louisiana,LA,22,2016,1393,156,7222,28262,6847,46238
Maine,ME,23,2016,247,21,2034,3919,3000,6129
Maryland,MD,24,2016,3018,308,13075,26976,7446,27934
Massachusetts,MA,25,2016,1460,74,8601,22134,950,24745
Michigan,MI,26,2016,1930,78,12258,23312,5210,34519
Minnesota,MN,27,2016,1018,32,6983,16173,5559,23483
Mississippi,MS,28,2016,944,79,5058,1831,5940,2583
Missouri,MO,29,2016,1898,123,9158,17086,,24695
Montana,MT,30,2016,362,98,5670,416,45,992
Nebraska,NE,31,2016,533,38,3109,14469,,24390
Nevada,NV,32,2016,771,61,6493,7259,2585,8788
New Hampshire,NH,33,2016,266,16,1835,3860,2216,5180
New Jersey,NJ,34,2016,2164,80,11784,22655,2200,23129
New Mexico,NM,35,2016,1339,207,11572,6680,,10963
New York,NY,36,2016,5279,91,21372,16846,6918,19781
North Carolina,NC,37,2016,2266,40,12110,45928,20420,58109
North Dakota,ND,38,2016,245,12,3149,4129,1853,10304
Ohio,OH,39,2016,2320,18,13586,43053,6623,50742
Oklahoma,OK,40,2016,1136,137,6454,6661,1154,10696
Oregon,OR,41,2016,706,56,8805,24522,8804,35818
Pennsylvania,PA,42,2016,2981,125,15167,46844,2563,57014
Rhode Island,RI,44,2016,283,29,1808,6997,377,6496
South Carolina,SC,45,2016,1391,141,6806,84058,12164,107026
South Dakota,SD,46,2016,266,17,2722,5864,2322,12265
Tennessee,TN,47,2016,2039,65,10163,49780,25085,66973
Texas,TX,48,2016,7114,574,39923,86425,47476,135662
Utah,UT,49,2016,767,96,6662,10070,3473,13730
Vermont,VT,50,2016,168,,1032,4037,767,6217
Virginia,VA,51,2016,5239,64,21258,40862,25223,48119
Washington,WA,53,2016,2108,30,16127,69895,17934,91415
West Virginia,WV,54,2016,654,4,3587,12498,3074,22520
Wisconsin,WI,55,2016,1063,4,6155,33846,,47789
Wyoming,WY,56,2016,278,16,3233,3273,1538,9386
Alabama,AL,1,2015,1497,132,6856,14153,,18614
Alaska,AK,2,2015,182,76,4436,4318,134,13008
Arizona,AZ,4,2015,2252,329,16681,18852,6955,25070
Arkansas,AR,5,2015,574,54,3938,15963,647,28935
California,CA,6,2015,10613,565,59686,220363,58873,213120
Colorado,CO,8,2015,1237,111,11159,13267,6511,21625
Connecticut,CT,9,2015,727,29,4428,489,145,478
Delaware,DE,10,2015,122,25,1306,2559,802,2878
District of Columbia,DC,11,2015,4359,107,7290,12669,3571,6850
Florida,FL,12,2015,5878,278,25789,103490,33691,103250
Georgia,GA,13,2015,3027,342,13904,50929,29837,63030
Hawaii,HI,15,2015,796,119,5607,7049,757,9145
Idaho,ID,16,2015,291,122,5342,1589,382,2927
Illinois,IL,17,2015,2991,97,14535,38235,120,43458
Indiana,IN,18,2015,1087,146,7023,1429,13339,2115
Iowa,IA,19,2015,587,39,3701,11852,5300,18848
Kansas,KS,20,2015,748,68,4211,11552,2211,17929
Kentucky,KY,21,2015,1311,127,5848,31877,9061,43009
Louisiana,LA,22,2015,1433,116,6624,27314,6660,43964
Maine,ME,23,2015,257,22,2010,4041,3000,6007
Maryland,MD,24,2015,2901,297,12744,27470,3805,27440
Massachusetts,MA,25,2015,1773,79,8325,22791,950,24088
Michigan,MI,26,2015,2090,71,11434,24350,5210,33481
Minnesota,MN,27,2015,1123,32,6638,16468,5559,23188
Mississippi,MS,28,2015,927,87,4927,1927,5959,2689
Missouri,MO,29,2015,1898,122,8888,17643,6899,24138
Montana,MT,30,2015,316,91,5380,463,68,1066
Nebraska,NE,31,2015,488,38,3042,15257,32,24697
Nevada,NV,32,2015,739,61,6110,7312,2585,8735
New Hampshire,NH,33,2015,273,16,1770,3972,2216,5068
New Jersey,NJ,34,2015,2281,90,11553,38431,2200,37315
New Mexico,NM,35,2015,1283,225,10954,6753,1037,10890
New York,NY,36,2015,5217,167,19713,39772,22714,43876
North Carolina,NC,37,2015,2311,299,11599,45457,19945,56312
North Dakota,ND,38,2015,250,70,3061,4122,1798,9981
Ohio,OH,39,2015,2403,93,12910,45340,6618,51346
Oklahoma,OK,40,2015,1053,121,6081,6225,1154,9123
Oregon,OR,41,2015,798,57,8029,24078,8376,33999
Pennsylvania,PA,42,2015,3076,123,14093,47149,2492,54994
Rhode Island,RI,44,2015,296,27,1738,7055,347,6188
South Carolina,SC,45,2015,1324,146,6744,55572,12220,69766
South Dakota,SD,46,2015,300,53,2841,7309,2787,14503
Tennessee,TN,47,2015,2139,66,9853,47809,23982,63813
Texas,TX,48,2015,7144,581,38518,87301,70960,133592
Utah,UT,49,2015,733,103,6586,11374,3480,15097
Vermont,VT,50,2015,166,17,1002,3052,480,4461
Virginia,VA,51,2015,5139,478,20645,41079,24744,46824
Washington,WA,53,2015,2060,224,15612,66100,16708,84055
West Virginia,WV,54,2015,629,50,3321,12590,3074,21853
Wisconsin,WI,55,2015,967,46,5914,33709,,45166
Wyoming,WY,56,2015,249,40,3032,330,129,913
