State,ABBREV,FIPS,Year,Pickups,Suvs
Alabama,AL,1,2016,1337244,1204619
Alaska,AK,2,2016,239843,231283
Arizona,AZ,4,2016,1090138,1298241
Arkansas,AR,5,2016,798329,634116
California,CA,6,2016,4228674,6603054
Colorado,CO,8,2016,940318,1561689
Connecticut,CT,9,2016,291501,808714
Delaware,DE,10,2016,137121,258855
District of Columbia,DC,11,2016,11537,68530
Florida,FL,12,2016,2220978,3895881
Georgia,GA,13,2016,1585575,1924330
Hawaii,HI,15,2016,257388,298519
Idaho,ID,16,2016,523566,428748
Illinois,IL,17,2016,1279182,2799799
Indiana,IN,18,2016,1121981,1370405
Iowa,IA,19,2016,838226,789521
Kansas,KS,20,2016,632924,572814
Kentucky,KY,21,2016,953598,903778
Louisiana,LA,22,2016,1080096,887720
Maine,ME,23,2016,238173,270399
Maryland,MD,24,2016,491387,1039869
Massachusetts,MA,25,2016,538636,1490757
Michigan,MI,26,2016,1364528,2285123
Minnesota,MN,27,2016,940605,1309389
Mississippi,MS,28,2016,558883,434197
Missouri,MO,29,2016,1183509,1251685
Montana,MT,30,2016,475279,338587
Nebraska,NE,31,2016,452017,445954
Nevada,NV,32,2016,415858,603512
New Hampshire,NH,33,2016,216662,343077
New Jersey,NJ,34,2016,466103,1653316
New Mexico,NM,35,2016,493759,403956
New York,NY,36,2016,1038517,3109351
North Carolina,NC,37,2016,1535784,1857678
North Dakota,ND,38,2016,252864,193706
Ohio,OH,39,2016,1606405,2489289
Oklahoma,OK,40,2016,644997,636756
Oregon,OR,41,2016,747369,842868
Pennsylvania,PA,42,2016,1458419,2780867
Rhode Island,RI,44,2016,94685,217969
South Carolina,SC,45,2016,819077,980482
South Dakota,SD,46,2016,272231,223598
Tennessee,TN,47,2016,1206972,1292684
Texas,TX,48,2016,5183476,5651021
Utah,UT,49,2016,430137,529923
Vermont,VT,50,2016,131190,176324
Virginia,VA,51,2016,1152392,1818035
Washington,WA,53,2016,1260598,1575762
West Virginia,WV,54,2016,404744,417731
Wisconsin,WI,55,2016,920786,1297317
Wyoming,WY,56,2016,279927,201878
