Vehicle,Year,Mpg,VmtVehicle
SHORT WB,2015,23.8566064,11327.17879
MOTORCYCLES,2015,43.77595135,2279.55594
BUSES,2015,7.284278502,18258.22964
LONG WB,2015,17.34079967,11854.89071
SINGLE-UNIT TRUCKS,2015,7.380037579,12960.43098
COMBINATION TRUCKS,2015,5.893747409,61978.00925
ALL LIGHT DUTY VEHICLES,2015,21.97931347,11442.96498
TRUCKS,2015,6.39841068,24978.93424
ALL VEHICLES,2015,17.90464718,11742.23334
SHORT WB,2016,23.956898,11369.57454
MOTORCYCLES,2016,43.89267206,2355.618137
BUSES,2016,7.345469877,16748.78766
LONG WB,2016,17.39756049,11991.04081
SINGLE-UNIT TRUCKS,2016,7.389125326,12958.06418
COMBINATION TRUCKS,2016,5.906245908,63428.14348
ALL LIGHT DUTY VEHICLES,2016,22.03846502,11507.27226
TRUCKS,2016,6.412896247,25037.47381
ALL VEHICLES,2016,17.94553075,11809.5937
