State,Year,VmtAll
Alabama,2016,69226.97081
Alaska,2016,5258.555818
Arizona,2016,65785.73004
Arkansas,2016,35754.7969
California,2016,340114.9368
Colorado,2016,52151.61111
Connecticut,2016,31638.569
Delaware,2016,10177.58523
District of Columbia,2016,3621.959298
Florida,2016,215550.7493
Georgia,2016,122802.1859
Hawaii,2016,10635.42844
Idaho,2016,17198.71536
Illinois,2016,107314.1027
Indiana,2016,83182.77568
Iowa,2016,33336.97203
Kansas,2016,32102.60971
Kentucky,2016,49312.718
Louisiana,2016,49155.61297
Maine,2016,14838.25752
Maryland,2016,59137.32716
Massachusetts,2016,61824.85135
Michigan,2016,99432.53809
Minnesota,2016,59028.80169
Mississippi,2016,40754.70886
Missouri,2016,74018.57646
Montana,2016,12598.72287
Nebraska,2016,20699.916
Nevada,2016,26787.98836
New Hampshire,2016,13512.59654
New Jersey,2016,77092.63216
New Mexico,2016,27885.52084
New York,2016,122929.9694
North Carolina,2016,116748.6809
North Dakota,2016,9739.208759
Ohio,2016,118607.6223
Oklahoma,2016,49013.27792
Oregon,2016,36719.18866
Pennsylvania,2016,101362.4929
Rhode Island,2016,7927.070507
South Carolina,2016,54552.64223
South Dakota,2016,9506.534323
Tennessee,2016,76883.74738
Texas,2016,271262.8383
Utah,2016,31448.89706
Vermont,2016,7381.890092
Virginia,2016,84462.67161
Washington,2016,61017.81094
West Virginia,2016,19539.44268
Wisconsin,2016,64046.40659
Wyoming,2016,9322.542399
