State,Region,Year,FuelOilExpense
Alabama,South,2012,179640
Alaska,United States,2012,5091
Arizona,West,2012,189338
Arkansas,South,2012,510909
California,West,2012,1552328
Colorado,West,2012,288559
Connecticut,Atlantic,2012,37338
Delaware,Atlantic,2012,30861
Florida,South,2012,325053
Georgia,South,2012,346738
Hawaii,United States,2012,33157
Idaho,West,2012,318433
Illinois,Midwest,2012,736736
Indiana,Midwest,2012,457781
Iowa,Midwest,2012,866990
Kansas,Plains,2012,710412
Kentucky,Atlantic,2012,268528
Louisiana,South,2012,235089
Maine,Atlantic,2012,40871
Maryland,Atlantic,2012,86919
Massachusetts,Atlantic,2012,30619
Michigan,Midwest,2012,397260
Minnesota,Midwest,2012,798828
Mississippi,South,2012,288348
Missouri,Midwest,2012,507282
Montana,West,2012,270619
Nebraska,Plains,2012,906596
Nevada,West,2012,47974
New Hampshire,Atlantic,2012,13389
New Jersey,Atlantic,2012,55991
New Mexico,West,2012,130982
New York,Atlantic,2012,313194
North Carolina,Atlantic,2012,417600
North Dakota,Plains,2012,538408
Ohio,Midwest,2012,419513
Oklahoma,Plains,2012,351180
Oregon,West,2012,232078
Pennsylvania,Atlantic,2012,312238
Rhode Island,Atlantic,2012,5296
South Carolina,South,2012,134969
South Dakota,Plains,2012,447956
Tennessee,Atlantic,2012,197953
Texas,Plains,2012,1164301
Utah,West,2012,96270
Vermont,Atlantic,2012,43540
Virginia,Atlantic,2012,190119
Washington,West,2012,353923
West Virginia,Atlantic,2012,41919
Wisconsin,Midwest,2012,542992
Wyoming,West,2012,101080
