Year,State,Abbrev,FIPS,BoatType,CheckId,GallonBoat,PercentStateTotal
2012,Alabama,AL,1,Power boats,AL-Power boats,169.5049697,0.775709274
2012,Alabama,AL,1,Sail boats,AL-Sail boats,5.767415655,0.006929317
2012,Alabama,AL,1,Pontoons,AL-Pontoons,205.206125,0.070465288
2012,Alabama,AL,1,PWCs,AL-PWCs,310.6720456,0.144758749
2012,Alaska,AK,2,Power boats,AK-Power boats,130.49,0.942303101
2012,Alaska,AK,2,Sail boats,AK-Sail boats,16.6493,0.006155549
2012,Alaska,AK,2,PWCs,AK-PWCs,86.80253004,0.036750249
2012,Arizona,AZ,4,Power boats,AZ-Power boats,95.24425812,0.748194171
2012,Arizona,AZ,4,Sail boats,AZ-Sail boats,27.09296965,0.007742415
2012,Arizona,AZ,4,Pontoons,AZ-Pontoons,126.9537553,0.054573805
2012,Arizona,AZ,4,PWCs,AZ-PWCs,58.06305184,0.18559124
2012,Arkansas,AR,5,Power boats,AR-Power boats,126.6464699,0.826714925
2012,Arkansas,AR,5,Sail boats,AR-Sail boats,17.81225511,0.00150314
2012,Arkansas,AR,5,Pontoons,AR-Pontoons,193.1893894,0.104177394
2012,Arkansas,AR,5,PWCs,AR-PWCs,78.84173615,0.06311363
2012,California,CA,6,Power boats,CA-Power boats,104.165257,0.778894672
2012,California,CA,6,Sail boats,CA-Sail boats,19.95705101,0.016632564
2012,California,CA,6,PWCs,CA-PWCs,55.11289013,0.176350502
2012,Colorado,CO,8,Power boats,CO-Power boats,45.2368693,0.800715348
2012,Colorado,CO,8,Sail boats,CO-Sail boats,16.22238953,0.023126444
2012,Colorado,CO,8,Pontoons,CO-Pontoons,78.03229206,0.03066179
2012,Colorado,CO,8,PWCs,CO-PWCs,143.2450629,0.133687221
2012,Connecticut,CT,9,Power boats,CT-Power boats,132.8483991,0.831404087
2012,Connecticut,CT,9,Sail boats,CT-Sail boats,14.80673097,0.024892491
2012,Connecticut,CT,9,Pontoons,CT-Pontoons,63.49546082,0.021465214
2012,Connecticut,CT,9,PWCs,CT-PWCs,98.05356064,0.103809359
2012,Delaware,DE,10,Power boats,DE-Power boats,227.6771078,0.829644797
2012,Delaware,DE,10,Sail boats,DE-Sail boats,24.90537732,0.016600807
2012,Delaware,DE,10,Pontoons,DE-Pontoons,66.37148159,0.099252373
2012,Delaware,DE,10,PWCs,DE-PWCs,140.401,0.041411896
2012,District of Columbia,DC,11,Power boats,DC-Power boats,214.2095532,0.718981742
2012,District of Columbia,DC,11,Sail boats,DC-Sail boats,16.6493,0.281018258
